2016/11/11
South Dakota St. 67, Wyoming 77
Benedictine Mesa 52, Utah Valley 86
Coastal Caro. 65, BYU 81
Pacific 65, UC Irvine 72
UC Santa Barb. 70, CSU Bakersfield 77
CSU Fullerton 68, UNLV 77
Northern Colo. 72, Santa Clara 88
Northern Ill. 82, CSUN 84
Gardner-Webb 94, Howard 78
Savannah State 86, Memphis 99
Grambling 54, Providence 71
FIU 75, Jacksonville 78

2016/11/20
Rhode Island 65, Duke 75
Duquesne 59, Kentucky 93
Villanova 67, UCF 57
Yale 38, Virginia 62
Xavier 67, UNI 59
FGCU 77, Michigan State 78
Long Beach St. 77, UCLA 114
New Hampshire 41, West Virginia 100
Citadel 63, Iowa State 130
NC State 94, Creighton 112
Cincinnati 71, Penn State 50
Stetson 50, East Carolina 73
Stony Brook 75, Boston College 82
Fairleigh D'son 58, St. Peter's 84
Edward Waters 64, Florida Atlantic 98
Massachusetts 68, Holy Cross 60
Milwaukee 59, DePaul 77
Robert Morris 69, Richmond 81
Youngstown St. 78, FIU 73
Western Mich. 70, Boise State 91
Manhattan 67, Temple 88
Northern Kentucky 79, Miami (Ohio) 70
Siena 80, UNC Asheville 92
Northeastern 80, Maine 72
Princeton 67, Lehigh 76
Ga. Southern 67, Mercer 80
Towson 66, Maryland 71
Cornell 82, Lafayette 75
Drexel 83, North Texas 62
Davidson 68, Arizona State 60
Central Ark. 81, Army West Point 76
Md.-East. Shore 79, Wichita State 116
Sam Houston St. 78, Tennessee Tech 71
East Tenn. St. 59, UNCW 68
Lipscomb 69, Fordham 85
Southern-N.O. 73, McNeese State 96
UNC-Greensboro 72, Navy 59
UTEP 54, Mississippi St. 61
Florida A&M 62, Air Force 87
Murray State 74, UMKC 85
Jacksonville 58, South Alabama 71
LIU Brooklyn 69, Boston U. 86
Detroit 71, Florida State 100
Bethune-Cookman 73, New Mexico St. 89
Presentation 63, North Dakota 101
Nicholls State 72, San Diego 81
Clemson 64, Oklahoma 70
UTRGV 67, Iowa 95
Green Bay 77, Bowling Green 61
Grand Canyon 84, Marist 72
Colorado State 49, Stanford 56
Hampton 67, Kansas State 89
Saint Joseph's 68, Mississippi 81
Radford 41, Akron 88
Wake Forest 78, Charleston 61
Iona 76, Nevada 91
Northern Ariz. 58, Washington 92
Brown 76, Albany 80
Niagara 65, Rutgers 78
Austin Peay 76, Delaware 75
Missouri 67, Tulane 62
Chattanooga 67, Arkansas State 73
North Dakota St. 70, High Point 44

2016/11/21
North Carolina 104, Chaminade 61
UAB 63, Kansas 83
Northern Colo. 55, Arizona 71
Mississippi 77, Creighton 86
Georgetown 65, Oregon 61
Tennessee 62, Wisconsin 74
Texas 58, Northwestern 77
Troy 67, Eastern Illinois 71
Hofstra 92, Bradley 90
LIU Brooklyn 71, Maine 66
Loyola Chicago 88, Washington St. 79
Ball State 79, Coppin State 77
Green Bay 95, UMKC 77
Kent State 77, South Dakota 80
Illinois State 71, TCU 80
Mass.-Lowell 77, Liberty 84
Coastal Caro. 83, Southern Utah 68
Little Rock 68, St. Bonaventure 65
Blue Mountain 77, Ark.-Pine Bluff 74
Saint Joseph's 63, NC State 73
St. Francis (B'klyn) 48, Providence 64
La.-Monroe 75, Seattle 81
Notre Dame 89, Colorado 83
Western Caro. 38, Ohio State 66
Fort Valley St. 101, Savannah State 118
Samford 66, Campbell 53
Ohio Dominican 54, Wright State 109
Belmont 61, Florida 78
Tennessee-Martin 72, Canisius 69
Murray State 77, Bowling Green 78
Geo. Washington 73, Georgia 81
Jackson State 61, Marshall 71
Columbia 86, Quinnipiac 78
Texas Southern 67, James Madison 56
George Mason 56, Houston 93
Alabama A&M 55, Southern Miss 63
Howard Payne 61, Incarnate Word 91
Texas A&M-C.C. 73, Texas State 69
St. Francis (Ill.) 67, Texas-Arlington 88
Mt. St. Mary's 63, Southern Ill. 73
Delaware State 82, La.-Lafayette 83
Montana State 78, Rice 83
Winthrop 84, Illinois 80
Xavier (La.) 72, Southeastern La. 89
Norfolk State 55, Butler 91
Cent. Michigan 88, Pepperdine 77
UC Davis 81, Sacramento St. 72
Oklahoma State 98, Connecticut 90
Bucknell 75, Vanderbilt 72
Bryant 77, Eastern Wash. 81
Saint Louis 62, BYU 92
Sacred Heart 74, Santa Clara 84
South Dakota St. 89, Idaho 96
Wofford 59, Vermont 60
California 65, San Diego State 77
Valparaiso 68, Alabama 60
Oral Roberts 47, Montana 68

2016/11/22
Indiana 68, IPFW 71
Oklahoma State 75, North Carolina 107
Georgia 54, Kansas 65
Grambling 34, Virginia 90
Tennessee 65, Oregon 69
San Jose State 64, St. Mary's (Cal.) 81
Wisconsin 73, Georgetown 57
Purdue 85, Utah State 64
S. Carolina St. 59, Syracuse 101
Texas 54, Colorado 68
Kent State 75, George Mason 79
Idaho State 82, Eastern Kentucky 91
Connecticut 93, Chaminade 82
Vermont 87, Hofstra 73
Alabama State 72, Kennesaw State 79
Texas Tech 65, Auburn 67
Mass.-Lowell 76, Miss. Valley St. 71
St. Bonaventure 102, Cent. Michigan 71
Notre Dame 70, Northwestern 66
La.-Monroe 57, Bryant 64
S.C. Upstate 108, Charlotte 103
South Florida 62, Florida Atlantic 78
Radford 47, Mercer 58
UNC Asheville 64, Furman 58
Yale 70, Pittsburgh 75
Towson 70, Boston College 80
Fla. National 66, North Florida 112
Stony Brook 63, Maryland 77
Florida A&M 62, East Carolina 82
Ga. Southern 67, Akron 75
Westmin. (Pa.) 67, Youngstown St. 97
Holy Cross 63, Harvard 52
Jarvis Christian 69, Prairie View A&M 84
Cornell 61, Monmouth 76
Penn 87, Cent. Conn. St. 65
VMI 67, Presbyterian 77
UTRGV 72, Southeast Mo. St. 83
Wagner 73, American 65
Toledo 70, Middle Tenn. 80
IUPUI 79, Marquette 104
LSU-Alexandria 69, N'western St. 82
Sam Houston St. 73, Georgia Tech 81
South Dakota 58, Houston 85
Geo. Washington 74, UAB 81
Blue Mountain 57, Alcorn State 83
Arkansas 71, Minnesota 85
Ecclesia 80, Houston Baptist 116
McNeese State 65, Memphis 104
N.C. A&T 56, Western Ky. 77
Robert Morris 40, Kansas State 61
Charleston So. 66, Abilene Christian 65
UTSA 58, Lamar 78
Buena Vista 65, Omaha 112
East-West U. 75, Chicago State 103
Little Rock 65, Pepperdine 66
SIUE 57, Arkansas State 75
Tennessee Tech 68, Southern Univ. 80
Dalton St. 50, Jacksonville St. 81
Stetson 72, Air Force 85
Oregon State 64, Tulsa 75
New Orleans 54, USC 88
UC Santa Barb. 57, SMU 84
Nicholls State 74, New Mexico St. 86
Waldorf 52, North Dakota St. 83
