WEEK 1
Florida 16, LSU 10
Florida State 45, Syracuse 14
Maryland 7, Nebraska 28
Missouri 37, Tennessee 63
Buffalo 0, Western Mich. 38
Stanford 45, California 31
UTSA 10, Texas A&M 23
Iowa 28, Illinois 0
La.-Lafayette 21, Georgia 35
Morgan State 3, Army West Point 60
UTEP 24, Rice 44
Kansas State 42, Baylor 21
Virginia 17, Georgia Tech 31
Miami (Fla.) 27, NC State 13
Connecticut 0, Boston College 30
Ga. Southern 24, Georgia State 30
Middle Tenn. 38, Charlotte 31
Massachusetts 9, BYU 51
La.-Monroe 17, Appalachian St. 42
Duke 14, Pittsburgh 56
Citadel 7, North Carolina 41
Texas 21, Kansas 24
Temple 31, Tulane 0
Texas Tech 10, Iowa State 66
San Diego State 33, Wyoming 34
Virginia Tech 34, Notre Dame 31
Northwestern 12, Minnesota 29
Western Caro. 31, South Carolina 44
Utah State 37, Nevada 38
Navy 66, East Carolina 31
Austin Peay 13, Kentucky 49
Texas State 10, New Mexico St. 50
Southern Miss 23, North Texas 29
Old Dominion 42, Florida Atlantic 24
Hawaii 14, Fresno State 13
South Florida 35, SMU 27
Arkansas 58, Mississippi St. 42
Marshall 14, FIU 31
Presbyterian 7, South Alabama 31
Tulsa 35, UCF 20
Mississippi 17, Vanderbilt 38
New Mexico 31, Colorado State 49
Arizona 17, Oregon State 42
Air Force 41, San Jose State 38
(canceled) South Alabama vs LSU
(canceled) Presbyterian vs Florida
 
WEEK 13 
Tuesday  , November  22, 2016
Ball State 20, Miami (Ohio) 21
Akron 3, Ohio 9
Cent. Michigan 21, Eastern Mich. 26
Thursday , November  24, 2016
LSU 54, Texas A&M 39
Friday   , November  25, 2016
Washington 45, Washington St. 17
Nebraska 10, Iowa 40
Boise State 20, Air Force 27
Houston 44, Memphis 48
Toledo 35, Western Mich. 55
NC State 28, North Carolina 21
Northern Ill. 31, Kent State 21
Arkansas 24, Missouri 28
Buffalo 19, Bowling Green 27
TCU 31, Texas 9
Louisiana Tech 24, Southern Miss 39
Baylor 35, Texas Tech 54
Cincinnati 37, Tulsa 40
Arizona State 35, Arizona 56
Saturday , November  26, 2016
Auburn 12, Alabama 30
Michigan 27, Ohio State 30
South Carolina 7, Clemson 56
Minnesota 17, Wisconsin 31
Michigan State 12, Penn State 45
Utah 22, Colorado 27
Kentucky 41, Louisville 38
Notre Dame 27, USC 45
Florida 13, Florida State 31
Tennessee 34, Vanderbilt 45
West Virginia 49, Iowa State 19
Rice 17, Stanford 41
Navy 75, SMU 31
Arkansas State 19, La.-Lafayette 24
UCF 31, South Florida 48
Illinois 21, Northwestern 42
Georgia Tech 28, Georgia 27
Rutgers 13, Maryland 31
Purdue 24, Indiana 26
Kansas 19, Kansas State 34
Virginia 10, Virginia Tech 52
Syracuse 61, Pittsburgh 76
Hampton 7, Coastal Caro. 26
Boston College 17, Wake Forest 14
FIU 28, Old Dominion 42
Duke 21, Miami (Fla.) 40
Mississippi St. 55, Mississippi 20
South Alabama 31, Idaho 38
San Jose State 16, Fresno State 14
Troy 40, Texas State 7
Oregon 24, Oregon State 34
Tulane 38, Connecticut 13
Nevada 45, UNLV 10
North Texas 24, UTEP 52
Appalachian St. 37, New Mexico St. 7
Florida Atlantic 56, Middle Tenn. 77
Western Ky. 60, Marshall 6
Charlotte 14, UTSA 33
UCLA 10, California 36
East Carolina 10, Temple 37
Colorado State 63, San Diego State 31
Wyoming 35, New Mexico 56
Utah State 10, BYU 28
Massachusetts 40, Hawaii 46
 
